date,open,high,low,close,volume,div,split
2016-08-04,122.94,124.79,122.51,124.36,21066000,,
2016-08-05,124.98,125.84,124.62,125.15,20184000,,
2016-08-08,125.25,125.45,124.55,125.26,15233900,,
2016-08-09,125.34,126.09,124.53,125.06,19621000,,
2016-08-10,125.07,125.48,124.54,124.88,10670100,,
2016-08-11,125.20,125.38,124.75,124.90,11729500,,
2016-08-12,124.70,125.00,124.18,124.88,12159000,,
2016-08-15,124.91,124.92,123.70,123.90,19295100,,
2016-08-16,123.50,123.92,122.78,123.30,14222400,,
2016-08-17,123.66,124.38,122.85,124.37,13794200,,
2016-08-18,124.01,124.26,123.64,123.91,12400800,,
2016-08-19,123.60,124.16,123.28,123.56,11688300,,
2016-08-22,123.33,124.83,123.11,124.15,14386400,,
2016-08-23,124.51,125.09,124.25,124.37,13309500,,
2016-08-24,124.47,124.69,123.09,123.48,12243700,,
2016-08-25,123.12,124.37,123.10,123.89,10730800,,
2016-08-26,124.05,125.19,123.91,124.96,17504800,,
2016-08-29,124.35,126.73,124.35,126.54,15925900,,
2016-08-30,126.60,126.60,125.15,125.84,17804300,,
2016-08-31,125.60,126.22,125.10,126.12,14200600,,
2016-09-01,126.38,126.63,125.60,126.17,13536100,,
2016-09-02,126.85,126.86,126.00,126.51,12118800,,
2016-09-06,126.67,129.94,126.47,129.73,26278400,,
2016-09-07,130.04,131.98,129.95,131.05,27990800,,
2016-09-08,130.92,131.08,129.81,130.27,15676600,,
2016-09-09,129.71,129.95,127.10,127.10,27100700,,
2016-09-12,125.96,128.76,125.75,128.69,21252800,,
2016-09-13,128.03,128.35,126.66,127.21,18016200,,
2016-09-14,126.89,128.80,126.89,127.77,15691100,,
2016-09-15,127.98,129.10,127.67,128.35,15077200,,
2016-09-16,128.20,129.18,128.20,129.07,24119200,,
2016-09-19,129.91,129.94,128.26,128.65,14958800,,
2016-09-20,128.65,129.17,128.03,128.64,11083800,,
2016-09-21,129.13,130.01,128.39,129.94,14068300,,
2016-09-22,130.50,130.73,129.56,130.08,15538300,,
2016-09-23,127.56,128.60,127.30,127.96,28326300,,
2016-09-26,127.37,128.16,126.80,127.31,15064900,,
2016-09-27,127.61,129.01,127.43,128.69,15637100,,
2016-09-28,129.21,129.47,128.40,129.23,12047600,,
2016-09-29,129.18,129.29,127.55,128.09,14532200,,
2016-09-30,128.03,128.59,127.45,128.27,18402900,,
2016-10-03,128.38,129.09,127.80,128.77,13156900,,
2016-10-04,129.17,129.28,127.55,128.19,14307500,,
2016-10-05,128.25,128.80,127.83,128.47,12386800,,
2016-10-06,128.43,129.06,128.08,128.74,11682700,,
2016-10-07,129.04,129.25,128.33,128.99,12804400,,
2016-10-10,129.68,130.70,129.20,130.24,15138700,,
2016-10-11,130.23,130.64,128.23,128.88,17537900,,
2016-10-12,129.01,129.66,128.46,129.05,11073000,,
2016-10-13,128.21,128.25,126.75,127.82,17139300,,
2016-10-14,128.49,128.95,127.58,127.88,13345300,,
2016-10-17,128.20,128.47,127.32,127.54,11351700,,
2016-10-18,128.68,129.39,128.01,128.57,13504000,,
2016-10-19,128.74,130.47,128.60,130.11,16752300,,
2016-10-20,130.07,130.66,129.50,130.00,13167500,,
2016-10-21,129.78,132.13,129.70,132.07,19088800,,
2016-10-24,132.72,133.41,132.15,133.28,17470200,,
2016-10-25,133.50,133.50,132.22,132.29,13336800,,
2016-10-26,131.64,132.26,130.94,131.04,13084700,,
2016-10-27,131.74,131.80,129.27,129.69,16741400,,
2016-10-28,130.50,132.97,129.93,131.29,24545500,,
2016-10-31,132.01,132.12,130.88,130.99,15669000,,
2016-11-01,131.41,131.94,128.65,129.50,22077800,,
2016-11-02,130.23,130.23,126.28,127.17,39640900,,
2016-11-03,122.00,123.28,119.50,120.00,63766300,,
2016-11-04,119.59,121.93,119.25,120.75,30545500,,
2016-11-07,122.83,123.21,121.35,122.15,23008900,,
2016-11-08,122.03,124.61,121.54,124.22,19460800,,
2016-11-09,121.50,123.81,120.51,123.18,31916000,,
2016-11-10,123.93,124.18,115.27,120.80,67846700,,
2016-11-11,119.53,120.70,118.15,119.02,32840100,,
2016-11-14,119.13,119.13,113.55,115.08,51377000,,
2016-11-15,116.73,118.49,115.83,117.20,34681400,,
2016-11-16,114.48,117.88,114.21,116.34,32397900,,
2016-11-17,116.81,117.79,116.01,117.79,18597800,,
2016-11-18,118.39,119.13,116.84,117.02,22879300,,
2016-11-21,118.20,121.95,117.80,121.77,35415400,,
2016-11-22,122.40,122.98,120.90,121.47,26089200,,
2016-11-23,121.23,121.31,119.94,120.84,15672100,,
2016-11-25,121.01,121.14,120.07,120.38,8658600,,
2016-11-28,120.12,121.69,119.82,120.41,18101300,,
2016-11-29,120.57,122.10,120.40,120.87,18891000,,
2016-11-30,120.32,121.79,117.95,118.42,30188900,,
2016-12-01,118.38,118.45,114.00,115.10,43277000,,
2016-12-02,115.11,116.48,114.30,115.40,25070400,,
2016-12-05,115.95,117.57,115.07,117.43,20201500,,
2016-12-06,117.69,117.80,116.33,117.31,19131200,,
2016-12-07,117.00,117.95,116.57,117.95,21913700,,
2016-12-08,117.98,119.50,117.64,118.91,22442800,,
2016-12-09,119.22,119.94,118.95,119.68,17464700,,
2016-12-12,119.22,119.24,117.65,117.77,17805500,,
2016-12-13,117.86,121.52,117.61,120.31,29768000,,
